Transaction Date,Local Authority Establishment,Benificiary (Merchant),Amount,Unrecoverable VAT,Expenditure Purpose,Merchant Category
29/01/2020,DCC-EARLY HELP-CP0752620GBP,ARGOS LTD,45,0,General Retail and Wholesale,Discount stores
02/02/2020,DCC-EARLY HELP-CP0752620GBP,AMZNMktplace,287.11,0,General Retail and Wholesale,Miscellaneous retail
07/02/2020,DCC-EARLY HELP-CP0752620GBP,ARGOS LTD,343.95,0,General Retail and Wholesale,Discount stores
11/02/2020,DCC-EARLY HELP-CP0752620GBP,ARGOS LTD,286.95,0,General Retail and Wholesale,Discount stores
18/02/2020,DCC-EARLY HELP-CP0752620GBP,AMZNMktplace,23.98,0,General Retail and Wholesale,Miscellaneous retail
20/01/2020,DCC-ERMINGTON PRI-CP0687043GBP,SPORTSDIRECT.COM,148.77,0,General Retail and Wholesale,Sporting goods shops
23/01/2020,DCC-ERMINGTON PRI-CP0687043GBP,AMZNMktplace,22.94,0,General Retail and Wholesale,Miscellaneous retail
26/01/2020,DCC-ERMINGTON PRI-CP0687043GBP,AMZNMktplace,6.99,0,General Retail and Wholesale,Miscellaneous retail
11/02/2020,DCC-ERMINGTON PRI-CP0687043GBP,AMAZON.CO.UK 2U1YN3BI5 AM,23.8,0,General Retail and Wholesale,Miscellaneous retail
14/02/2020,DCC-ERMINGTON PRI-CP0687043GBP,WWW.ELITEINDUSTRIAL.CO,78.71,0,General Retail and Wholesale,Miscellaneous retail
28/01/2020,DCC-EXETER PHN BS-CP0770676GBP,AMZNMktplace,19.48,0,General Retail and Wholesale,Miscellaneous retail
28/01/2020,DCC-EXETER PHN BS-CP0770676GBP,AMZNMktplace,51.98,0,General Retail and Wholesale,Miscellaneous retail
28/01/2020,DCC-EXETER ROAD P-CP0687055GBP,AMZNMktplace,26.98,0,General Retail and Wholesale,Miscellaneous retail
29/01/2020,DCC-EXETER ROAD P-CP0687055GBP,WWW.RANSOMSPARES.CO.UK,27.75,0,Building Materials,Electrical parts & equipment
29/01/2020,DCC-EXETER ROAD P-CP0687055GBP,AMZNMktplace,17.79,0,General Retail and Wholesale,Miscellaneous retail
29/01/2020,DCC-EXETER ROAD P-CP0687055GBP,AMZNMktplace,85.59,0,General Retail and Wholesale,Miscellaneous retail
04/02/2020,DCC-EXETER ROAD P-CP0687055GBP,NURTURE GROUP NETWORK,180,0,Professional Services,Consultants & public relation services
05/02/2020,DCC-EXETER ROAD P-CP0687055GBP,EGRESS SWITCH,108,0,Computer Equipment & Services,Computer software stores
06/02/2020,DCC-EXETER ROAD P-CP0687055GBP,WWW.EXPERTFITNESSUK.CO,42.66,0,General Retail and Wholesale,Sporting goods shops
29/01/2020,DCC-EXETER YOUTH-CP0766321GBP,PAYPAL  RUSSELLHOUS,64.35,0,Books and Periodicals,Book stores
07/02/2020,DCC-EXETER YOUTH-CP0766321GBP,HEALTH BOOKS UK LTD,61.2,0,Books and Periodicals,Book stores
09/02/2020,DCC-EXETER YOUTH-CP0766321GBP,AMAZON.CO.UK 8218A02E5 AM,33.99,0,General Retail and Wholesale,Miscellaneous retail
11/02/2020,DCC-EXETER YOUTH-CP0766321GBP,Amazon.co.uk PU5QO4WM5,40,0,Mail Order / Direct Selling,Direct sales companies
12/02/2020,DCC-EXETER YOUTH-CP0766321GBP,AMZNMKTPLACE AMAZON.CO.UK,375.16,0,General Retail and Wholesale,Miscellaneous retail
12/02/2020,DCC-EXETER YOUTH-CP0766321GBP,AMZNMktplace,83.77,0,General Retail and Wholesale,Miscellaneous retail
12/02/2020,DCC-EXETER YOUTH-CP0766321GBP,AMZNMktplace,8.95,0,General Retail and Wholesale,Miscellaneous retail
24/01/2020,DCC-GREENFIELDS-CP0775701GBP,C BREWER & SONS LT,83.52,0,Building Materials,Timber & building supplies
24/01/2020,DCC-GREENFIELDS-CP0775701GBP,HOMEBASE LTD 208,60,0,General Retail and Wholesale,Home supply warehouse stores
27/01/2020,DCC-GREENFIELDS-CP0775701GBP,WWW.CHAIRSWAREHOUSE.CO,174.93,0,General Retail and Wholesale,Furniture & home furnishing
06/02/2020,DCC-GREENFIELDS-CP0775701GBP,NETFLIX.COM,11.99,0,Telecommunication Services,Cable & pay TV services
06/02/2020,DCC-ILFACOMBE JNR-CP0706090GBP,COACHWISE LTD,51.49,0,Computer Equipment & Services,Computer software stores
06/02/2020,DCC-ILFACOMBE JNR-CP0706090GBP,AMZNMktplace,59.32,0,General Retail and Wholesale,Miscellaneous retail
06/02/2020,DCC-ILFACOMBE JNR-CP0706090GBP,Van Orton Sarl,138,0,General Retail and Wholesale,"Pet shops, food & supply"
06/02/2020,DCC-ILFACOMBE JNR-CP0706090GBP,Amazon.co.uk QT21Z3LN5,50.98,0,Mail Order / Direct Selling,Direct sales companies
06/02/2020,DCC-ILFACOMBE JNR-CP0706090GBP,SEATED FURNITURE L,327.79,0,"Office Stationery, Equipment and Supplies",Office & commercial furniture
07/02/2020,DCC-ILFACOMBE JNR-CP0706090GBP,AMZNMktplace,337.2,0,General Retail and Wholesale,Miscellaneous retail
15/02/2020,DCC-ILFACOMBE JNR-CP0706090GBP,AMZNMktplace,7.69,0,General Retail and Wholesale,Miscellaneous retail
15/02/2020,DCC-ILFACOMBE JNR-CP0706090GBP,AMZNMKTPLACE AMAZON.CO.UK,14.99,0,General Retail and Wholesale,Miscellaneous retail
16/02/2020,DCC-ILFACOMBE JNR-CP0706090GBP,AMZNMKTPLACE AMAZON.CO.UK,113.98,0,General Retail and Wholesale,Miscellaneous retail
05/02/2020,DCC-KINGSBRIDGE D-CP0687064GBP,AMZNMKTPLACE AMAZON.CO.UK,4.99,0,General Retail and Wholesale,Miscellaneous retail
29/01/2020,DCC-LADYSMITH INF-CP0696854GBP,2CO.COM MOVAVI.COM 113199,38.28,0,Computer Equipment & Services,Computer software stores
31/01/2020,DCC-LADYSMITH INF-CP0696854GBP,WWW.ICO.ORG.UK,60,0,Statutory Bodies,Government services
29/01/2020,DCC-LADYSMITH JNR-CP0690174GBP,WWW.OFFICEFURNITUREONLINE,99.6,0,"Office Stationery, Equipment and Supplies",Office & commercial furniture
31/01/2020,DCC-LADYSMITH JNR-CP0690174GBP,LEEDS MARRIOTT HOTEL FOH,178,0,Hotels and Accommodation,Marriott Hotels
27/01/2020,DCC-LIPTON PRIMAR-CP0687048GBP,TESCO STORE 2800,81.43,0,General Retail and Wholesale,Grocery stores
28/01/2020,DCC-LIPTON PRIMAR-CP0687048GBP,AMZNMktplace,21,0,General Retail and Wholesale,Miscellaneous retail
28/01/2020,DCC-LIPTON PRIMAR-CP0687048GBP,AMZNMktplace,16,0,General Retail and Wholesale,Miscellaneous retail
28/01/2020,DCC-LIPTON PRIMAR-CP0687048GBP,AMZNMktplace,36.28,0,General Retail and Wholesale,Miscellaneous retail
28/01/2020,DCC-LIPTON PRIMAR-CP0687048GBP,PASS  PORTABLE APPLIAN,48,0,Miscellaneous Industrial/Commercial Supplies,Testing labs (non-medical)
30/01/2020,DCC-LIPTON PRIMAR-CP0687048GBP,AMAZON.CO.UK 5Q14T6GW5 AM,11.5,0,General Retail and Wholesale,Miscellaneous retail
03/02/2020,DCC-LIPTON PRIMAR-CP0687048GBP,TESCO STORE 2800,73.94,0,General Retail and Wholesale,Grocery stores
04/02/2020,DCC-LIPTON PRIMAR-CP0687048GBP,SCREWFIX DIRECT,44.97,0,General Retail and Wholesale,Home supply warehouse stores
10/02/2020,DCC-LIPTON PRIMAR-CP0687048GBP,AMZNMktplace,64.64,0,General Retail and Wholesale,Miscellaneous retail
10/02/2020,DCC-LIPTON PRIMAR-CP0687048GBP,AMZNMktplace,8.69,0,General Retail and Wholesale,Miscellaneous retail
10/02/2020,DCC-LIPTON PRIMAR-CP0687048GBP,TESCO STORE 2800,82.26,0,General Retail and Wholesale,Grocery stores
12/02/2020,DCC-LIPTON PRIMAR-CP0687048GBP,TESCO SUBSCRIPTION,6.99,0,Mail Order / Direct Selling,Continuous subscriptions
14/02/2020,DCC-LIPTON PRIMAR-CP0687048GBP,PAYPAL  LILLETSUKLI,14,0,General Retail and Wholesale,Miscellaneous retail
05/02/2020,DCC-MANOR PRIMARY-CP0737608GBP,TICKETSOURCE,64.5,0,Computer Equipment & Services,Computer software stores
05/02/2020,DCC-MANOR PRIMARY-CP0737608GBP,AMZNMKTPLACE AMAZON.CO.UK,10.48,0,General Retail and Wholesale,Miscellaneous retail
07/02/2020,DCC-MANOR PRIMARY-CP0737608GBP,AMZNMKTPLACE AMAZON.CO.UK,1.79,0,General Retail and Wholesale,Miscellaneous retail
11/02/2020,DCC-MANOR PRIMARY-CP0737608GBP,AMAZON.CO.UK 230EX69A5 AM,20.48,0,General Retail and Wholesale,Miscellaneous retail
14/02/2020,DCC-MANOR PRIMARY-CP0737608GBP,GLAZEBROOK HOUSE HOTEL,25,0,Hotels and Accommodation,"Hotels, motels & resorts"
25/01/2020,DCC-MEADOWPARK-CP0768810GBP,Amazon.co.uk ML8UP1TZ4,39.26,0,Mail Order / Direct Selling,Direct sales companies
01/02/2020,DCC-MEADOWPARK-CP0768810GBP,AMZNMktplace,76.42,0,General Retail and Wholesale,Miscellaneous retail
03/02/2020,DCC-MEADOWPARK-CP0768810GBP,JS ONLINE GROCERY,214.2,0,General Retail and Wholesale,Grocery stores
08/02/2020,DCC-MEADOWPARK-CP0768810GBP,AMZ Amazon.co.uk,-62.5,0,General Retail and Wholesale,Miscellaneous retail
10/02/2020,DCC-MEADOWPARK-CP0768810GBP,DISCLOSURE & BARRING,13,0,Statutory Bodies,Government services
24/01/2020,DCC-NEW TREETOPS-CP0687057GBP,ROYAL MAIL GROUP,16.8,0,Mail and Courier Services,Postal services
28/01/2020,DCC-NEW TREETOPS-CP0687057GBP,TESCO STORES 5930,41.4,0,General Retail and Wholesale,Grocery stores
28/01/2020,DCC-NEW TREETOPS-CP0687057GBP,AMAZON.CO.UK 7K9S25WA5 AM,119.14,0,General Retail and Wholesale,Miscellaneous retail
29/01/2020,DCC-NEW TREETOPS-CP0687057GBP,AMZ chunhongli,-5.98,0,General Retail and Wholesale,Miscellaneous retail
31/01/2020,DCC-NEW TREETOPS-CP0687057GBP,THE POST OFFICE,39.3,0,Mail and Courier Services,Postal services
04/02/2020,DCC-NEW TREETOPS-CP0687057GBP,TESCO STORES 5930,61.94,0,General Retail and Wholesale,Grocery stores
06/02/2020,DCC-NEW TREETOPS-CP0687057GBP,AAL LTD,206.4,0,Medical Supplies and Services,Hearing aid sales & services
11/02/2020,DCC-NEW TREETOPS-CP0687057GBP,AMZNMktplace,86.62,0,General Retail and Wholesale,Miscellaneous retail
11/02/2020,DCC-NEW TREETOPS-CP0687057GBP,TESCO STORES 5930,-5,0,General Retail and Wholesale,Grocery stores
11/02/2020,DCC-NEW TREETOPS-CP0687057GBP,TESCO STORES 5930,103.6,0,General Retail and Wholesale,Grocery stores
11/02/2020,DCC-NEW TREETOPS-CP0687057GBP,POST OFFICE COUNTER,6.6,0,Mail and Courier Services,Postal services
15/02/2020,DCC-NEW TREETOPS-CP0687057GBP,B & Q 1049,10.47,0,General Retail and Wholesale,Home supply warehouse stores
18/02/2020,DCC-NEW TREETOPS-CP0687057GBP,AMZNMKTPLACE AMAZON.CO.UK,61.99,0,General Retail and Wholesale,Miscellaneous retail
18/02/2020,DCC-NEW TREETOPS-CP0687057GBP,TESCO STORES 5930,69.14,0,General Retail and Wholesale,Grocery stores
21/02/2020,DCC-NEW TREETOPS-CP0687057GBP,TESCO SUBSCRIPTION,3.49,0,Mail Order / Direct Selling,Continuous subscriptions
28/01/2020,DCC-NORTH MOLTON-CP0751187GBP,TESCO STORE 2083,50.03,0,General Retail and Wholesale,Grocery stores
28/01/2020,DCC-NORTH MOLTON-CP0751187GBP,TESCO STORE 2083,-2,0,General Retail and Wholesale,Grocery stores
04/02/2020,DCC-NORTH MOLTON-CP0751187GBP,Amazon Prime 8453I3X55,7.99,0,Mail Order / Direct Selling,Continuous subscriptions
06/02/2020,DCC-PARTICIPATION-CP0691919GBP,AMZNMktplace,65.35,0,General Retail and Wholesale,Miscellaneous retail
27/01/2020,DCC-PAYHEMBURY-CP0737593GBP,CURRYS,39.99,0,General Retail and Wholesale,Electronics shops
13/02/2020,DCC-PAYHEMBURY-CP0737593GBP,PAYHEMBURY PROVISIONS,194.88,0,Catering and Catering Supplies,Misc Food stores
14/02/2020,DCC-PAYHEMBURY-CP0737593GBP,COMIC RELIEF SHOP,167.5,0,Clubs/Associations/Organisations,Charitable organisations
19/02/2020,DCC-PAYHEMBURY-CP0737593GBP,Amazon Prime X65TV3FH5,7.99,0,Mail Order / Direct Selling,Continuous subscriptions
28/01/2020,DCC-PENINSULA PEN-CP0687065GBP,THE STONEGALLOWS INN,54.86,0,Restaurants and Bars,"Bars, taverns, pubs & nightclubs"
31/01/2020,DCC-PENINSULA PEN-CP0687065GBP,BREWERS FAYRE 40537175,36.53,0,Restaurants and Bars,Restaurants
02/02/2020,DCC-PENINSULA PEN-CP0687065GBP,"LYNDA.COM, INC.",22.95,0,Training and Educational,Schools
13/02/2020,DCC-PENINSULA PEN-CP0687065GBP,NAS SCOTLAND PEOPLE,12.95,0,Statutory Bodies,Government services
29/01/2020,DCC-SHEBBEAR PRIM-CP0693279GBP,POST OFFICE COUNTER,3.55,0,Mail and Courier Services,Postal services
04/02/2020,DCC-SHEBBEAR PRIM-CP0693279GBP,WWF-UK AG1,50,0,Clubs/Associations/Organisations,Charitable organisations
04/02/2020,DCC-SHEBBEAR PRIM-CP0693279GBP,WWF-UK AG1,105.95,0,Clubs/Associations/Organisations,Charitable organisations
07/02/2020,DCC-SHEBBEAR PRIM-CP0693279GBP,COMIC RELIEF SHOP,47.5,0,Clubs/Associations/Organisations,Charitable organisations
10/02/2020,DCC-SHEBBEAR PRIM-CP0693279GBP,THE BOOK PEOPLE,67.68,0,Books and Periodicals,Book stores
10/02/2020,DCC-SHEBBEAR PRIM-CP0693279GBP,THE BOOK PEOPLE,25.9,0,Books and Periodicals,Book stores
26/01/2020,DCC-SHIRWELL PRIM-CP0693242GBP,TESCO STORE 2083,10.62,0,General Retail and Wholesale,Grocery stores
27/01/2020,DCC-SHIRWELL PRIM-CP0693242GBP,TESCO STORE 2083,4.15,0,General Retail and Wholesale,Grocery stores
28/01/2020,DCC-SHIRWELL PRIM-CP0693242GBP,TESCO STORES 6269,9.99,0,General Retail and Wholesale,Grocery stores
28/01/2020,DCC-SHIRWELL PRIM-CP0693242GBP,Amazon.co.uk YY4XU5Z15,22.28,0,Mail Order / Direct Selling,Direct sales companies
29/01/2020,DCC-SHIRWELL PRIM-CP0693242GBP,RC AND P WITHECOMBE,100.9,0,Catering and Catering Supplies,"Freezer, meat suppliers"
31/01/2020,DCC-SHIRWELL PRIM-CP0693242GBP,B & M RETAIL,2.36,0,General Retail and Wholesale,Discount stores
03/02/2020,DCC-SHIRWELL PRIM-CP0693242GBP,TESCO STORES 6269,39.5,0,General Retail and Wholesale,Grocery stores
05/02/2020,DCC-SHIRWELL PRIM-CP0693242GBP,AMZNMktplace,5.62,0,General Retail and Wholesale,Miscellaneous retail
05/02/2020,DCC-SHIRWELL PRIM-CP0693242GBP,Amazon.co.uk ML8ZG15M4,14.78,0,Mail Order / Direct Selling,Direct sales companies
06/02/2020,DCC-SHIRWELL PRIM-CP0693242GBP,AMZNMktplace,10.49,0,General Retail and Wholesale,Miscellaneous retail
06/02/2020,DCC-SHIRWELL PRIM-CP0693242GBP,AMZNMktplace,6.01,0,General Retail and Wholesale,Miscellaneous retail
06/02/2020,DCC-SHIRWELL PRIM-CP0693242GBP,Amazon.co.uk C964P9PC5,14,0,Mail Order / Direct Selling,Direct sales companies
09/02/2020,DCC-SHIRWELL PRIM-CP0693242GBP,AMAZON.CO.UK 7C11J5KR5 AM,18.46,0,General Retail and Wholesale,Miscellaneous retail
10/02/2020,DCC-SHIRWELL PRIM-CP0693242GBP,TESCO PFS 4205,2.2,0,Automotive Fuel,Service stations
10/02/2020,DCC-SHIRWELL PRIM-CP0693242GBP,TESCO STORE 2083,23.81,0,General Retail and Wholesale,Grocery stores
12/02/2020,DCC-SHIRWELL PRIM-CP0693242GBP,AMZNMktplace,36.97,0,General Retail and Wholesale,Miscellaneous retail
14/02/2020,DCC-SHIRWELL PRIM-CP0693242GBP,JUMP START JONNY,58.8,0,General Retail and Wholesale,Men & womens clothing shops
27/01/2020,DCC-SOUTH MOLTON INF-C0595442,WORDERY,83.32,0,Books and Periodicals,Book stores
13/02/2020,DCC-SOUTHBROOK SC-CP0693353GBP,Amazon.co.uk 0250D8005,30,0,Mail Order / Direct Selling,Direct sales companies
23/01/2020,DCC-SOUTHMEAD PRI-CP0752476GBP,PAYPAL  GUANGJU EBAY G,4.09,0,General Retail and Wholesale,Variety stores
27/01/2020,DCC-SOUTHMEAD PRI-CP0752476GBP,TESCO STORES 5850,20.26,0,General Retail and Wholesale,Grocery stores
28/01/2020,DCC-SOUTHMEAD PRI-CP0752476GBP,WWW.DHSSPARES.CO.UK,22.7,0,Building Services,"Heating, plumbing & air conditioning"
29/01/2020,DCC-SOUTHMEAD PRI-CP0752476GBP,PAYPAL  WORLDBOOKSL EB,8.97,0,Books and Periodicals,Book stores
29/01/2020,DCC-SOUTHMEAD PRI-CP0752476GBP,PAYPAL  WORLDBOOKSL EB,14.95,0,Books and Periodicals,Book stores
29/01/2020,DCC-SOUTHMEAD PRI-CP0752476GBP,PAYPAL  EPOSGEAR EBAY,12.7,0,"Office Stationery, Equipment and Supplies",Stationery & office supplies stores
29/01/2020,DCC-SOUTHMEAD PRI-CP0752476GBP,PAYPAL  NEWSNEWS EBAY,7.78,0,"Vehicles, Servicing and Spares",Automotive parts & accessories
03/02/2020,DCC-SOUTHMEAD PRI-CP0752476GBP,TESCO STORES 5850,23.9,0,General Retail and Wholesale,Grocery stores
06/02/2020,DCC-SOUTHMEAD PRI-CP0752476GBP,TESCO STORES 5850,9.34,0,General Retail and Wholesale,Grocery stores
10/02/2020,DCC-SOUTHMEAD PRI-CP0752476GBP,TESCO STORES 5850,26.85,0,General Retail and Wholesale,Grocery stores
20/02/2020,DCC-SOUTHMEAD PRI-CP0752476GBP,POUNDLAND,13.1,0,General Retail and Wholesale,Discount stores
23/01/2020,DCC-STOKE HILL IN-CP0711144GBP,TESCO STORES 5930,15.28,0,General Retail and Wholesale,Grocery stores
31/01/2020,DCC-STOKE HILL IN-CP0711144GBP,LEEDS MARRIOTT HOTEL FOH,89,0,Hotels and Accommodation,Marriott Hotels
08/02/2020,DCC-STOKE HILL IN-CP0711144GBP,HOMELEIGH GARDEN CENTRE,10,0,Estate and Garden Services,Lawn & garden supply/nursery
08/02/2020,DCC-STOKE HILL IN-CP0711144GBP,EDWIN TUCKER & SONS LI,21.51,0,General Retail and Wholesale,"Pet shops, food & supply"
11/02/2020,DCC-STOKE HILL IN-CP0711144GBP,TESCO STORES 5930,21.37,0,General Retail and Wholesale,Grocery stores
19/02/2020,DCC-STOKE HILL IN-CP0711144GBP,BERNAVILLE NURSERI,16.99,0,Estate and Garden Services,Lawn & garden supply/nursery
24/01/2020,DCC-STOKE HILL JU-CP0711150GBP,TRAINLINE,333.68,0,Travel - Air/Rail/Road,Passenger railways
31/01/2020,DCC-STOKE HILL JU-CP0711150GBP,LEEDS MARRIOTT HOTEL FOH,287,0,Hotels and Accommodation,Marriott Hotels
03/02/2020,DCC-STOKE HILL JU-CP0711150GBP,SQ  MR P ICT,25,0,Training and Educational,Schools
04/02/2020,DCC-STOKE HILL JU-CP0711150GBP,EB  MATTHEW NEWBERRY H,38.32,0,Miscellaneous Industrial/Commercial Supplies,Misc business services
10/02/2020,DCC-STOKE HILL JU-CP0711150GBP,EDGY PRODUCTIONS LTD,80.4,0,Books and Periodicals,Book stores
27/01/2020,DCC-TEIGNBRIDGE C-CP0687056GBP,TRAINLINE,43.5,0,Travel - Air/Rail/Road,Passenger railways
28/01/2020,DCC-TEIGNBRIDGE C-CP0687056GBP,WM MORRISONS STORE,21.64,0,General Retail and Wholesale,Grocery stores
29/01/2020,DCC-TEIGNBRIDGE C-CP0687056GBP,AMZNMktplace,27.12,0,General Retail and Wholesale,Miscellaneous retail
29/01/2020,DCC-TEIGNBRIDGE C-CP0687056GBP,TRAINLINE,44.24,0,Travel - Air/Rail/Road,Passenger railways
05/02/2020,DCC-TEIGNBRIDGE C-CP0687056GBP,thetrainline.com,36.15,0,Travel - Air/Rail/Road,Passenger railways
23/01/2020,DCC-TRINITY PRIMA-CP0711159GBP,WWW.EYFS.INFO,66,0,Miscellaneous Industrial/Commercial Supplies,Misc business services
04/02/2020,DCC-TRINITY PRIMA-CP0711159GBP,WWW.DOMINOS.CO.UK,55.46,0,Restaurants and Bars,Restaurants
23/01/2020,DCC-WELLAND HOUSE-CP0770668GBP,RYMAN,1.99,0,"Office Stationery, Equipment and Supplies",Stationery & office supplies stores
24/01/2020,DCC-WELLAND HOUSE-CP0770668GBP,TESCO STORES 6269,-1,0,General Retail and Wholesale,Grocery stores
24/01/2020,DCC-WELLAND HOUSE-CP0770668GBP,TESCO STORES 6269,84.98,0,General Retail and Wholesale,Grocery stores
25/01/2020,DCC-WELLAND HOUSE-CP0770668GBP,PILTON BRIDGE SERVICE STA,1,0,Automotive Fuel,Service stations
25/01/2020,DCC-WELLAND HOUSE-CP0770668GBP,JACRO CINEMA SALES,4.2,0,Leisure Activities,Cinemas
25/01/2020,DCC-WELLAND HOUSE-CP0770668GBP,JACRO CINEMA SALES,4,0,Leisure Activities,Cinemas
27/01/2020,DCC-WELLAND HOUSE-CP0770668GBP,TESCO STORES 6269,100.19,0,General Retail and Wholesale,Grocery stores
27/01/2020,DCC-WELLAND HOUSE-CP0770668GBP,IZ  Rock and Rapid Advent,25,0,Leisure Activities,Misc. recreational services
30/01/2020,DCC-WELLAND HOUSE-CP0770668GBP,TESCO STORES 6269,43.1,0,General Retail and Wholesale,Grocery stores
31/01/2020,DCC-WELLAND HOUSE-CP0770668GBP,TESCO STORES 6269,75.63,0,General Retail and Wholesale,Grocery stores
03/02/2020,DCC-WELLAND HOUSE-CP0770668GBP,TESCO STORES 6269,70.35,0,General Retail and Wholesale,Grocery stores
04/02/2020,DCC-WELLAND HOUSE-CP0770668GBP,TESCO STORES 6269,1.35,0,General Retail and Wholesale,Grocery stores
05/02/2020,DCC-WELLAND HOUSE-CP0770668GBP,HOME BARGAINS,23.91,0,General Retail and Wholesale,Hardware stores
05/02/2020,DCC-WELLAND HOUSE-CP0770668GBP,HOME BARGAINS,116.72,0,General Retail and Wholesale,Hardware stores
07/02/2020,DCC-WELLAND HOUSE-CP0770668GBP,SHOE ZONE,9.99,0,General Retail and Wholesale,Shoe shops
07/02/2020,DCC-WELLAND HOUSE-CP0770668GBP,TESCO STORES 6269,90.86,0,General Retail and Wholesale,Grocery stores
07/02/2020,DCC-WELLAND HOUSE-CP0770668GBP,TM GYM LTD,3,0,Leisure Activities,"Member clubs, sport, recreation & golf"
10/02/2020,DCC-WELLAND HOUSE-CP0770668GBP,TESCO STORES 6269,65.59,0,General Retail and Wholesale,Grocery stores
13/02/2020,DCC-WELLAND HOUSE-CP0770668GBP,B & M RETAIL,6,0,General Retail and Wholesale,Discount stores
14/02/2020,DCC-WELLAND HOUSE-CP0770668GBP,TESCO STORES 6269,81.43,0,General Retail and Wholesale,Grocery stores
14/02/2020,DCC-WELLAND HOUSE-CP0770668GBP,TESCO STORES 6269,-3.3,0,General Retail and Wholesale,Grocery stores
15/02/2020,DCC-WELLAND HOUSE-CP0770668GBP,ASDA BIDEFORD 4356,8.8,0,General Retail and Wholesale,Grocery stores
17/02/2020,DCC-WELLAND HOUSE-CP0770668GBP,TESCO STORES 6269,126.45,0,General Retail and Wholesale,Grocery stores
19/02/2020,DCC-WELLAND HOUSE-CP0770668GBP,Amazon.co.uk 868FV2X25,9.71,0,Mail Order / Direct Selling,Direct sales companies
20/02/2020,DCC-WELLAND HOUSE-CP0770668GBP,ARGOS LTD,24.99,0,General Retail and Wholesale,Discount stores
31/01/2020,DCC-WILLOWBROOK-CP0690192GBP,PAYPAL  LINQI0617,80.96,0,General Retail and Wholesale,Electronics shops
05/02/2020,DCC-WILLOWBROOK-CP0690192GBP,AMAZON.CO.UK PE7FE6S15 AM,10,0,General Retail and Wholesale,Miscellaneous retail
13/02/2020,DCC-WILLOWBROOK-CP0690192GBP,RS COMPONENTS,20.75,0,Building Materials,Electrical parts & equipment
13/02/2020,DCC-WILLOWBROOK-CP0690192GBP,RS COMPONENTS,0,0,Building Materials,Electrical parts & equipment
24/01/2020,DECOY PRIMARY-CP0636389GBP,SAINSBURY'S S/MKT,37,0,General Retail and Wholesale,Grocery stores
24/01/2020,DECOY PRIMARY-CP0636389GBP,TESCO STORE 2920,62.13,0,General Retail and Wholesale,Grocery stores
27/01/2020,DECOY PRIMARY-CP0636389GBP,ESSENTIALAIDS.COM LTD,49.18,0,Medical Supplies and Services,"Laboratory, medical & hospital equipment"
31/01/2020,DECOY PRIMARY-CP0636389GBP,TESCO STORE 2920,55.59,0,General Retail and Wholesale,Grocery stores
01/02/2020,DECOY PRIMARY-CP0636389GBP,HOME BARGAINS,9.35,0,General Retail and Wholesale,Hardware stores
06/02/2020,DECOY PRIMARY-CP0636389GBP,GL-ASSESMENT.CO.UK,300,0,Books and Periodicals,Book stores
06/02/2020,DECOY PRIMARY-CP0636389GBP,SCREWFIX DIRECT,13.47,0,General Retail and Wholesale,Home supply warehouse stores
06/02/2020,DECOY PRIMARY-CP0636389GBP,WWW.POSTOFFICESHOP.CO.UK,194.99,0,"Office Stationery, Equipment and Supplies",Stationery & office supplies
06/02/2020,DECOY PRIMARY-CP0636389GBP,WWW.POSTOFFICESHOP.CO.UK,0,0,"Office Stationery, Equipment and Supplies",Stationery & office supplies
06/02/2020,DECOY PRIMARY-CP0636389GBP,WWW.POSTOFFICESHOP.CO.UK,0,0,"Office Stationery, Equipment and Supplies",Stationery & office supplies
06/02/2020,DECOY PRIMARY-CP0636389GBP,WWW.POSTOFFICESHOP.CO.UK,0,0,"Office Stationery, Equipment and Supplies",Stationery & office supplies
06/02/2020,DECOY PRIMARY-CP0636389GBP,WWW.POSTOFFICESHOP.CO.UK,0,0,"Office Stationery, Equipment and Supplies",Stationery & office supplies
06/02/2020,DECOY PRIMARY-CP0636389GBP,WWW.POSTOFFICESHOP.CO.UK,0,0,"Office Stationery, Equipment and Supplies",Stationery & office supplies
07/02/2020,DECOY PRIMARY-CP0636389GBP,AMZNMktplace,25.2,0,General Retail and Wholesale,Miscellaneous retail
09/02/2020,DECOY PRIMARY-CP0636389GBP,TESCO STORE 2487,63.55,0,General Retail and Wholesale,Grocery stores
10/02/2020,DECOY PRIMARY-CP0636389GBP,AMZNMktplace,39.97,0,General Retail and Wholesale,Miscellaneous retail
11/02/2020,DECOY PRIMARY-CP0636389GBP,AMZNMktplace,39.99,0,General Retail and Wholesale,Miscellaneous retail
11/02/2020,DECOY PRIMARY-CP0636389GBP,SAINSBURYS S/MKTS,3.3,0,General Retail and Wholesale,Grocery stores
23/01/2020,DEVON CC-RFI SILVERHILL,Amazon.co.uk W79QN5I65,59.99,0,Mail Order / Direct Selling,Direct sales companies
28/01/2020,DEVON CC-RFI SILVERHILL,AMZNMktplace,10.92,0,General Retail and Wholesale,Miscellaneous retail
28/01/2020,DEVON CC-RFI SILVERHILL,WWW.LABELSANDTAGS.CO.U,13.8,0,Print and Advertising,Publishing & printing services
30/01/2020,DEVON CC-RFI SILVERHILL,Amazon.co.uk EF5A81MC5,22.22,0,Mail Order / Direct Selling,Direct sales companies
30/01/2020,DEVON CC-RFI SILVERHILL,Amazon.co.uk NR0TM9A45,31.48,0,Mail Order / Direct Selling,Direct sales companies
